source_folder,source_file,source_sha256,scripture,scripture_confidence,slug,processed_path,post_path,first_imported_date,last_checked_date,status
20260708_诗篇7:1-17_怒气_Patrick,20260708_诗篇7:1-17_怒气_Patrick_中文.txt,e1a0b03f8093a418bbdae269716c70d8b14463d36139bcca52c89e43b44c31ba,诗篇 7:1-17,high,2026-07-08-诗篇-7-1-17｜怒气,data/processed/整理后的讲道文章/2026-07-08-诗篇-7-1-17｜怒气.md,src/content/posts/2026-07-08-诗篇-7-1-17｜怒气.md,2026-07-08,2026-07-08,imported
20260708_诗篇88:1-18_在绝望中遇见神_Patrick,20260708_诗篇88:1-18_在绝望中遇见神_Patrick_中文.txt,ba6445a82a4cef208d1cb52edcfed473d696f9f15c87f144efd8b35efd641c55,诗篇 88:1-18,high,2026-07-08-诗篇-88-1-18｜在绝望中遇见神,data/processed/整理后的讲道文章/2026-07-08-诗篇-88-1-18｜在绝望中遇见神.md,src/content/posts/2026-07-08-诗篇-88-1-18｜在绝望中遇见神.md,2026-07-08,2026-07-08,imported
20260708_路加福音15:11-32_两个浪子_Patrick,20260708_路加福音15:11-32_两个浪子_Patrick_中文.txt,ae84004a35342020433f35b42aaff60d325fc0de7b5aefc18fd2e242343b6be2,路加福音 15:11-32,high,2026-07-08-路加福音-15-11-32｜两个浪子,data/processed/整理后的讲道文章/2026-07-08-路加福音-15-11-32｜两个浪子.md,src/content/posts/2026-07-08-路加福音-15-11-32｜两个浪子.md,2026-07-08,2026-07-08,imported
20260708_马可福音14:1-9_耶稣在伯大尼受膏_Patrick,20260708_马可福音14:1-9_耶稣在伯大尼受膏_Patrick_中文.txt,d84e4eca13536d8ca0942a3f1e6e95627de14b848c70dec25bc38fdc638bdb39,马可福音 14:1-9,high,2026-07-08-马可福音-14-1-9｜耶稣在伯大尼受膏,data/processed/整理后的讲道文章/2026-07-08-马可福音-14-1-9｜耶稣在伯大尼受膏.md,src/content/posts/2026-07-08-马可福音-14-1-9｜耶稣在伯大尼受膏.md,2026-07-08,2026-07-08,imported
20260708_马可福音14:53-65_耶稣在公会前_Patrick,20260708_马可福音14:53-65_耶稣在公会前_Patrick_中文.txt,0c3115dd8c4222c17c51508e2717b757bb03deabc92b368e2d693ede64b22ccc,马可福音 14:53-65,high,2026-07-08-马可福音-14-53-65｜耶稣在公会前,data/processed/整理后的讲道文章/2026-07-08-马可福音-14-53-65｜耶稣在公会前.md,src/content/posts/2026-07-08-马可福音-14-53-65｜耶稣在公会前.md,2026-07-08,2026-07-08,imported
20260708_马可福音15:1-15_耶稣与巴拉巴_Patrick,20260708_马可福音15:1-15_耶稣与巴拉巴_Patrick_中文.txt,38291baa1043f8ad66d875ffe7621a010440fba4b7d1b5aac787fb4b30a4da35,马可福音 15:1-15,high,2026-07-08-马可福音-15-1-15｜耶稣与巴拉巴,data/processed/整理后的讲道文章/2026-07-08-马可福音-15-1-15｜耶稣与巴拉巴.md,src/content/posts/2026-07-08-马可福音-15-1-15｜耶稣与巴拉巴.md,2026-07-08,2026-07-08,imported
20260708_马可福音15:33-39_十字架上的呼喊_Patrick,20260708_马可福音15:33-39_十字架上的呼喊_Patrick_中文.txt,1c988db404defdd81abd6e686a0b3f77a18de269dee1f069d722fb2960d86296,马可福音 15:33-39,high,2026-07-08-马可福音-15-33-39｜十字架上的呼喊,data/processed/整理后的讲道文章/2026-07-08-马可福音-15-33-39｜十字架上的呼喊.md,src/content/posts/2026-07-08-马可福音-15-33-39｜十字架上的呼喊.md,2026-07-08,2026-07-08,imported
20260708_马可福音16:1-15_复活_Patrick,20260708_马可福音16:1-15_复活_Patrick_中文.txt,6c7886d2a193702b7696904f7544e429d2d4e646b802c71a146b4349f82b782b,马可福音 16:1-15,high,2026-07-08-马可福音-16-1-15｜复活,data/processed/整理后的讲道文章/2026-07-08-马可福音-16-1-15｜复活.md,src/content/posts/2026-07-08-马可福音-16-1-15｜复活.md,2026-07-08,2026-07-08,imported
20260709_路加福音2:1-7_不受欢迎的君王_Patrick,20260709_路加福音2:1-7_不受欢迎的君王_Patrick_中文.txt,136cdce7d4cbb477ef86f0107286777a650fb5dd33a1e95e663927524201a44f,路加福音 2:1-7,high,2026-07-09-路加福音-2-1-7｜不受欢迎的君王,data/processed/整理后的讲道文章/2026-07-09-路加福音-2-1-7｜不受欢迎的君王.md,src/content/posts/2026-07-09-路加福音-2-1-7｜不受欢迎的君王.md,2026-07-10,2026-07-10,imported
20260709_路加福音2:8-20_君王的宣告_Patrick,20260709_路加福音2:8-20_君王的宣告_Patrick_中文.txt,fe17597d5c37290689d50bab6cecaead528aff15609cab72ffa11ba13b9ed5da,路加福音 2:8-20,high,2026-07-09-路加福音-2-8-20｜君王的宣告,data/processed/整理后的讲道文章/2026-07-09-路加福音-2-8-20｜君王的宣告.md,src/content/posts/2026-07-09-路加福音-2-8-20｜君王的宣告.md,2026-07-10,2026-07-10,imported
20260709_马太福音1:18-25_神与我们同在_Patrick,20260709_马太福音1:18-25_神与我们同在_Patrick_中文.txt,d93d444af154c7682e7bba9952f93e08fd815854d607c0bf215b37c6157c8102,马太福音 1:18-25,high,2026-07-09-马太福音-1-18-25｜神与我们同在,data/processed/整理后的讲道文章/2026-07-09-马太福音-1-18-25｜神与我们同在.md,src/content/posts/2026-07-09-马太福音-1-18-25｜神与我们同在.md,2026-07-10,2026-07-10,imported
20260709_马太福音1:1_教师君王系列导论_Patrick,20260709_马太福音1:1_教师君王系列导论_Patrick_中文.txt,e87458251efaf44432112a9a0c7c4d12da9e17bb75a30758c28cab9f9c9e2287,马太福音 1:1,high,2026-07-09-马太福音-1-1｜教师君王系列导论,data/processed/整理后的讲道文章/2026-07-09-马太福音-1-1｜教师君王系列导论.md,src/content/posts/2026-07-09-马太福音-1-1｜教师君王系列导论.md,2026-07-09,2026-07-09,imported
20260709_马太福音2:1-12_敬拜真正的君王_Patrick,20260709_马太福音2:1-12_敬拜真正的君王_Patrick_中文.txt,2a41cdd19c7e64fb3603898ac7a8ff8e39c2183d19b87df3bba7bae92b23e0ee,马太福音 2:1-12,high,2026-07-09-马太福音-2-1-12｜敬拜真正的君王,data/processed/整理后的讲道文章/2026-07-09-马太福音-2-1-12｜敬拜真正的君王.md,src/content/posts/2026-07-09-马太福音-2-1-12｜敬拜真正的君王.md,2026-07-10,2026-07-10,imported
20260709_马太福音5:1-3_灵里贫穷的人有福了_Patrick,20260709_马太福音5:1-3_灵里贫穷的人有福了_Patrick_中文.txt,a9332982fca28bbf96ce6e1c02ad90fccf7caf646c3fc4fef7ab3447e514bbbf,马太福音 5:1-3,high,2026-07-09-马太福音-5-1-3｜灵里贫穷的人有福了,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-1-3｜灵里贫穷的人有福了.md,src/content/posts/2026-07-09-马太福音-5-1-3｜灵里贫穷的人有福了.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:10-12_为义受逼迫的人有福了_Patrick,20260709_马太福音5:10-12_为义受逼迫的人有福了_Patrick_中文.txt,3eaa8908594f4223c015ab31633b3e54a777f617a8a97075b98cbebaff6ff8d0,马太福音 5:10-12,high,2026-07-09-马太福音-5-10-12｜为义受逼迫的人有福了,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-10-12｜为义受逼迫的人有福了.md,src/content/posts/2026-07-09-马太福音-5-10-12｜为义受逼迫的人有福了.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:13-16_盐和光_Patrick,20260709_马太福音5:13-16_盐和光_Patrick_中文.txt,9ae87eea811d50484ad9111bf116f29f1ba579cb991defe6c1fae9077d13503c,马太福音 5:13-16,high,2026-07-09-马太福音-5-13-16｜盐和光,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-13-16｜盐和光.md,src/content/posts/2026-07-09-马太福音-5-13-16｜盐和光.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:17-20_耶稣成全律法_Patrick,20260709_马太福音5:17-20_耶稣成全律法_Patrick_中文.txt,8f621cf2022787de5d2c4ec9cea268a36d691798e9017d4b546841256639688f,马太福音 5:17-20,high,2026-07-09-马太福音-5-17-20｜耶稣成全律法,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-17-20｜耶稣成全律法.md,src/content/posts/2026-07-09-马太福音-5-17-20｜耶稣成全律法.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:21-26_怒气与和好_Patrick,20260709_马太福音5:21-26_怒气与和好_Patrick_中文.txt,db81f2335ed46d10ee047c654dcdc881cb1e7ed482e1cd6a63bfb58fd79cd6ac,马太福音 5:21-26,high,2026-07-09-马太福音-5-21-26｜怒气与和好,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-21-26｜怒气与和好.md,src/content/posts/2026-07-09-马太福音-5-21-26｜怒气与和好.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:27-30_情欲_Patrick,20260709_马太福音5:27-30_情欲_Patrick_中文.txt,f5abc34fb08333ee723d7a667f634202bf8bd32ac14b32ba1d8835c519257112,马太福音 5:27-30,high,2026-07-09-马太福音-5-27-30｜情欲,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-27-30｜情欲.md,src/content/posts/2026-07-09-马太福音-5-27-30｜情欲.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:3-6_八福中的哀恸温柔与饥渴慕义_Patrick,20260709_马太福音5:3-6_八福中的哀恸温柔与饥渴慕义_Patrick_中文.txt,5ed6ca2cbe610d8a8b0b7ab7bf5335e65aa3fda4869b4e90653c082ad60ccf6b,马太福音 5:3-6,high,2026-07-09-马太福音-5-3-6｜八福中的哀恸温柔与饥渴慕义,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-3-6｜八福中的哀恸温柔与饥渴慕义.md,src/content/posts/2026-07-09-马太福音-5-3-6｜八福中的哀恸温柔与饥渴慕义.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:31-37_持守承诺_Patrick,20260709_马太福音5:31-37_持守承诺_Patrick_中文.txt,c7759d9e4c575a25eb511aa23bb6db6e7abdd0a3b07f0a561d4637d570b8def9,马太福音 5:31-37,high,2026-07-09-马太福音-5-31-37｜持守承诺,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-31-37｜持守承诺.md,src/content/posts/2026-07-09-马太福音-5-31-37｜持守承诺.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:38-42_不报复_Patrick,20260709_马太福音5:38-42_不报复_Patrick_中文.txt,8a883aecb653b6154703acddf4c56e5349ee87652b21f6bbdf06b715897d29fc,马太福音 5:38-42,high,2026-07-09-马太福音-5-38-42｜不报复,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-38-42｜不报复.md,src/content/posts/2026-07-09-马太福音-5-38-42｜不报复.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:43-48_爱你的仇敌_Patrick,20260709_马太福音5:43-48_爱你的仇敌_Patrick_中文.txt,c808a3c7ab9977d30ef47321c88dbfdf134bed6dc084504c51e17e385526d7de,马太福音 5:43-48,high,2026-07-09-马太福音-5-43-48｜爱你的仇敌,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-43-48｜爱你的仇敌.md,src/content/posts/2026-07-09-马太福音-5-43-48｜爱你的仇敌.md,2026-07-09,2026-07-09,imported
20260709_马太福音5:7-9_八福中的怜恤清心与使人和睦_Patrick,20260709_马太福音5:7-9_八福中的怜恤清心与使人和睦_Patrick_中文.txt,85f2d035b56c9382fafffb59c9ec0a2a1e4d62c6b7f14e0d68c5952c85188804,马太福音 5:7-9,high,2026-07-09-马太福音-5-7-9｜八福中的怜恤清心与使人和睦,data/processed/整理后的讲道文章/2026-07-09-马太福音-5-7-9｜八福中的怜恤清心与使人和睦.md,src/content/posts/2026-07-09-马太福音-5-7-9｜八福中的怜恤清心与使人和睦.md,2026-07-09,2026-07-09,imported
20260709_马太福音6:1-4_施舍_Patrick,20260709_马太福音6:1-4_施舍_Patrick_中文.txt,4316a9deb40f167651c3bda08a7ed81afc02470d41d79a74afa6533f78796992,马太福音 6:1-4,high,2026-07-09-马太福音-6-1-4｜施舍,data/processed/整理后的讲道文章/2026-07-09-马太福音-6-1-4｜施舍.md,src/content/posts/2026-07-09-马太福音-6-1-4｜施舍.md,2026-07-10,2026-07-10,imported
20260709_马太福音6:14-18_禁食_Patrick,20260709_马太福音6:14-18_禁食_Patrick_中文.txt,2a9dafc7c3f777cb43f2058cfb555a3a7e9b19c91a6b36d2112df2873d0b1e79,马太福音 6:14-18,high,2026-07-09-马太福音-6-14-18｜禁食,data/processed/整理后的讲道文章/2026-07-09-马太福音-6-14-18｜禁食.md,src/content/posts/2026-07-09-马太福音-6-14-18｜禁食.md,2026-07-10,2026-07-10,imported
20260709_马太福音6:19-24_财宝_Patrick,20260709_马太福音6:19-24_财宝_Patrick_中文.txt,65375c7e9b9ef3456be5fd89592d9d937ca4f96aeae6814e0a3fa9782e71be13,马太福音 6:19-24,high,2026-07-09-马太福音-6-19-24｜财宝,data/processed/整理后的讲道文章/2026-07-09-马太福音-6-19-24｜财宝.md,src/content/posts/2026-07-09-马太福音-6-19-24｜财宝.md,2026-07-10,2026-07-10,imported
20260709_马太福音6:5-13_祷告_Patrick,20260709_马太福音6:5-13_祷告_Patrick_中文.txt,22da7dd00ec88ee13f6406ecc250f916597c6e983e102e9a14c8b2915434a781,马太福音 6:5-13,high,2026-07-09-马太福音-6-5-13｜祷告,data/processed/整理后的讲道文章/2026-07-09-马太福音-6-5-13｜祷告.md,src/content/posts/2026-07-09-马太福音-6-5-13｜祷告.md,2026-07-10,2026-07-10,imported
20260709_马太福音7:1-6_论断人_Patrick,20260709_马太福音7:1-6_论断人_Patrick_中文.txt,fa034e914f3dcb36d17a94ef991d32818214bd47c7c0880defb7ca1113674a68,马太福音 7:1-6,high,2026-07-09-马太福音-7-1-6｜论断人,data/processed/整理后的讲道文章/2026-07-09-马太福音-7-1-6｜论断人.md,src/content/posts/2026-07-09-马太福音-7-1-6｜论断人.md,2026-07-10,2026-07-10,imported
20260709_马太福音7:12-14_金律与窄门_Patrick,20260709_马太福音7:12-14_金律与窄门_Patrick_中文.txt,a8a55c3d13c89ec0de36e41c51180e184c1b6644b24317d7d85c3d4cc3197247,马太福音 7:12-14,high,2026-07-09-马太福音-7-12-14｜金律与窄门,data/processed/整理后的讲道文章/2026-07-09-马太福音-7-12-14｜金律与窄门.md,src/content/posts/2026-07-09-马太福音-7-12-14｜金律与窄门.md,2026-07-10,2026-07-10,imported
20260709_马太福音7:15-23_真正的门徒_Patrick,20260709_马太福音7:15-23_真正的门徒_Patrick_中文.txt,63cdb75528bbb53d88553b0569f02893da0570788737d7df894ba3a04a19b73b,马太福音 7:15-23,high,2026-07-09-马太福音-7-15-23｜真正的门徒,data/processed/整理后的讲道文章/2026-07-09-马太福音-7-15-23｜真正的门徒.md,src/content/posts/2026-07-09-马太福音-7-15-23｜真正的门徒.md,2026-07-10,2026-07-10,imported
20260709_马太福音7:24-29_聪明人与愚拙人的根基_Patrick,20260709_马太福音7:24-29_聪明人与愚拙人的根基_Patrick_中文.txt,7dea03bd1c9cc8d748e03426f5f20dcd474597a49928a39d041501b2122c9a2d,马太福音 7:24-29,high,2026-07-09-马太福音-7-24-29｜聪明人与愚拙人的根基,data/processed/整理后的讲道文章/2026-07-09-马太福音-7-24-29｜聪明人与愚拙人的根基.md,src/content/posts/2026-07-09-马太福音-7-24-29｜聪明人与愚拙人的根基.md,2026-07-10,2026-07-10,imported
