源文件,日期,经文,分类,发布标题,校订状态
100不贫穷也不富足.docx,2026-06-05,箴言 30:1-9,灵命成长,箴言 30:1-9｜不贫穷也不富足：亚古珥关于知足的祷告,已完成基础校订
114主祷文的奥秘.docx,2025-09-27,马太福音 6:9-13,灵命成长,马太福音 6:9-13｜主祷文：从天父关系理解祷告,已完成基础校订
20220402 婚姻和教会.docx,2022-04-02,创世记 2:18-25,灵命成长,创世记 2:18-25｜婚姻与教会：在盟约中学习彼此相爱,已完成基础校订
20220423_悔改.docx,2022-04-23,路加福音 24:47,灵命成长,路加福音 24:47｜悔改：蒙赦免并回转归向神,已完成基础校订
20220520_新人而非好人.docx,2022-05-20,约翰福音 3:1-15,灵命成长,约翰福音 3:1-15｜成为新人，而不只是成为好人,已完成基础校订
20220628‗受苦的意义.docx,2022-06-28,约伯记 42:1-6,灵命成长,约伯记 42:1-6｜受苦的意义：从约伯的经历认识神,已完成基础校订
20220701_重新得力的秘诀.docx,2022-07-01,马太福音 11:28-30,灵命成长,马太福音 11:28-30｜重新得力的秘诀：到基督里得安息,已完成基础校订
20230503_假信仰与假平安.docx,2023-05-03,马太福音 7:15-23,灵命成长,马太福音 7:15-23｜假信仰与假平安：从生命果子分辨真假,已完成基础校订
33为什么耶稣告诉人们“去吧，从此不要再犯罪了”？.docx,2025-08-02,约翰福音 8:1-11,灵命成长,约翰福音 8:1-11｜去吧，从此不要再犯罪：恩典与圣洁的生命,已完成基础校订
43三段被误解的圣经经文，以及神真正的应许.docx,2025-08-09,罗马书 8:28等,灵命成长,罗马书 8:28等｜三段常被误解的经文：在语境中理解神的应许,已完成基础校订
47建在永恒根基上的生命——从两则比喻看属灵智慧.docx,2025-08-02,路加福音 16:19-31；马太福音 7:24-27,灵命成长,路加福音 16:19-31；马太福音 7:24-27｜建在永恒根基上的生命：从两则比喻学习属灵智慧,已完成基础校订
77大卫和耶稣的祷告.docx,2025-11-01,诗篇 23:1；马太福音 6:9-13,灵命成长,诗篇 23:1；马太福音 6:9-13｜大卫与耶稣的祷告：学习信靠、敬拜与亲近神,已完成基础校订
82保罗的刺.docx,2025-12-26,哥林多后书 12:7-10,灵命成长,哥林多后书 12:7-10｜保罗身上的刺：在软弱中经历够用的恩典,已完成基础校订
84聪明的童女.docx,2026-03-21,马太福音 25:1-13,灵命成长,马太福音 25:1-13｜十个童女的比喻：警醒预备等候主,已完成基础校订
85耶稣为何在地上写字.docx,2025-08-30,约翰福音 8:1-11,灵命成长,约翰福音 8:1-11｜耶稣为何在地上写字：恩典、审判与悔改,已完成基础校订
86人生只有两条路.docx,2025-10-25,马太福音 7:13-14,灵命成长,马太福音 7:13-14｜两条道路：选择通往生命的窄路,已完成基础校订
87希伯来人，以色列人和犹太人.docx,2026-01-24,创世记 14:13；32:28,灵命成长,创世记 14:13；32:28｜希伯来人、以色列人与犹太人：名称与历史脉络,已完成基础校订
88耶稣为何说她是狗.docx,2025-11-29,马太福音 15:21-28,灵命成长,马太福音 15:21-28｜迦南妇人的信心：理解儿女与小狗的比喻,已完成基础校订
88雅各.docx,2026-03-28,创世记 32:22-32,灵命成长,创世记 32:22-32｜雅各与神摔跤：从抓取到降服的生命转变,已完成基础校订
91神的儿子，神的儿子们，人子.docx,2026-05-23,创世记 6:1-4；约伯记 1:6；但以理书 7:13-14,灵命成长,创世记 6:1-4；约伯记 1:6；但以理书 7:13-14｜神的众子、神的儿子与人子：三个称号的含义,已完成基础校订
92大儿子的比喻.docx,2026-02-21,路加福音 15:25-32,灵命成长,路加福音 15:25-32｜大儿子的比喻：隐藏在顺服外表下的疏离,已完成基础校订
99雅各交叉双手.docx,2026-04-05,创世记 48:13-20,灵命成长,创世记 48:13-20｜雅各交叉双手祝福：神的主权超越人的次序,已完成基础校订
上帝公平吗　罗9：14-24.docx,2025-04-26,马太福音 20:1-10,灵命成长,马太福音 20:1-10｜上帝公平吗,已完成基础校订
不可论断　罗14：1-12.docx,2025-06-06,罗马书 14:1-12,灵命成长,罗马书 14:1-12｜不可论断,已完成基础校订
为主而活 罗十四７，８.docx,2024-12-07,罗马书 14:7-8,灵命成长,罗马书 14:7-8｜为主而活：无论生死都是属主的人,已完成基础校订
亚伯拉罕献以撒.docx,2023-08-27,创世记 22:2,灵命成长,创世记 22:2｜亚伯拉罕献以撒,已完成基础校订
亚伯拉罕的代祷.docx,2023-08-05,创世记 18,灵命成长,创世记 18｜亚伯拉罕的代祷,已完成基础校订
"人的罪恶 经文：罗3,9-20.docx",2024-11-09,罗马书 3:9-20,灵命成长,罗马书 3:9-20｜人的罪恶,已完成基础校订
从约伯记看约伯受苦的意义.docx,2022-10-01,约伯记 1:1,灵命成长,约伯记 1:1｜从约伯记看约伯受苦的意义,已完成基础校订
从重生而成长.docx,2024-12-14,彼得前书 1:18-2:3,灵命成长,彼得前书 1:18-2:3｜从重生走向成长：渴慕纯净的灵奶,已完成基础校订
以善胜恶顺服神.docx,2024-06-16,罗马书 12:19-21,灵命成长,罗马书 12:19-21｜以善胜恶：把伸冤的主权交给神,已完成基础校订
以神为乐 罗5：1-10.docx,2025-01-04,希伯来书 11:27,灵命成长,希伯来书 11:27｜以神为乐,已完成基础校订
你是否真正得救.docx,2023-03-31,哥林多后书 13:5,灵命成长,哥林多后书 13:5｜你是否真正得救：省察信心与生命果子,已完成基础校订
信心.docx,2024-01-20,雅各书 2:14-26,灵命成长,雅各书 2:14-26｜信心与行为：活的信心必结出果子,已完成基础校订
和睦相处荣耀神.docx,2024-05-24,罗马书 12:14-18,灵命成长,罗马书 12:14-18｜与人和睦：以祝福和善意回应冲突,已完成基础校订
基督门徒的条件.docx,2023-12-30,路加福音 14:25-33,灵命成长,路加福音 14:25-33｜作基督门徒的条件：计算跟随主的代价,已完成基础校订
如何明辨神的声音.docx,2023-09-17,提摩太后书 3:16-17,灵命成长,提摩太后书 3:16-17｜如何明辨神的声音：以圣经作为可靠准则,已完成基础校订
寻求神的旨意.docx,2023-01-14,彼得后书 3:9；提摩太前书 2:3-4,灵命成长,彼得后书 3:9；提摩太前书 2:3-4｜寻求神的旨意：从得救开始明白神的带领,已完成基础校订
得胜有余基督里　罗8：31-39.docx,2025-06-21,罗马书 8:31,灵命成长,罗马书 8:31｜得胜有余基督里,已完成基础校订
得荣耀 罗马书8：18-30.docx,2025-03-29,罗马书 8:18-30,灵命成长,罗马书 8:18-30｜得荣耀,已完成基础校订
恩典.docx,2024-02-12,以弗所书 2:8-9,灵命成长,以弗所书 2:8-9｜恩典：白白得来的救恩,已完成基础校订
悔改的真义.docx,2023-07-09,马太福音 3:2,灵命成长,马太福音 3:2｜悔改的真义,已完成基础校订
惟有爱心能造就人.docx,2024-04-13,哥林多前书 8:1-3,灵命成长,哥林多前书 8:1-3｜惟有爱心能造就人,已完成基础校订
承载恩典.docx,2024-08-10,罗马书 1:11-12,灵命成长,罗马书 1:11-12｜承载恩典：在共同信心中彼此坚固,已完成基础校订
明白神的旨意（罗8：27）.docx,2025-05-17,罗马书 8:27,灵命成长,罗马书 8:27｜明白神的旨意(罗8:27),已完成基础校订
活出生命色彩的秘诀 罗8：1-17.docx,2025-02-08,罗马书 8:1-17,灵命成长,罗马书 8:1-17｜活出生命色彩的秘诀,已完成基础校订
爱成全律法 经文：罗 13：8-10.docx,2024-10-12,罗马书 13:8-10,灵命成长,罗马书 13:8-10｜爱成全律法,已完成基础校订
献为活祭 圣经：罗马书12：1－2.docx,2025-03-08,罗马书 12:1-2,灵命成长,罗马书 12:1-2｜献为活祭,已完成基础校订
百般试炼更坚信.docx,2024-05-24,雅各书 1:1-4,灵命成长,雅各书 1:1-4｜在百般试炼中坚定信心,已完成基础校订
神充分的奖赏.docx,2023-12-10,但以理书 3:1-30,灵命成长,但以理书 3:1-30｜烈火窑中的信心：神同在就是充分的奖赏,已完成基础校订
神完全的能力.docx,2023-11-11,哥林多后书 12:7-10,灵命成长,哥林多后书 12:7-10｜神的能力在人的软弱上显得完全,已完成基础校订
神阻挡骄傲的人.docx,2024-07-13,罗马书 11:16-24,灵命成长,罗马书 11:16-24｜不可向旧枝夸口：在神的恩慈与严厉中警醒,已完成基础校订
耶稣基督的仆人.docx,2024-09-15,罗马书 1:1,灵命成长,罗马书 1:1｜耶稣基督的仆人,已完成基础校订
耶稣对天国的教训.docx,2024-03-16,马太福音 4:17,灵命成长,马太福音 4:17｜耶稣对天国的教训,已完成基础校订
论断与判断的区别.docx,2022-10-29,路加福音 6:37,灵命成长,路加福音 6:37｜论断与判断的区别,已完成基础校订
诗 32 悔改的操练.docx,2025-05-24,诗篇 32:1-11,灵命成长,诗篇 32:1-11｜悔改的操练：在认罪与赦免中经历神,已完成基础校订
重生的真义.docx,2023-10-15,约翰福音 3:3-8,灵命成长,约翰福音 3:3-8｜重生的真义：从圣灵而生的新生命,已完成基础校订
骄傲.docx,2022-12-10,路加福音 18:11,灵命成长,路加福音 18:11｜骄傲,已完成基础校订
耶稣叫我们“背起自己的十字架”到底是什么意思？.md,2026-06-11,马太福音 16:24-26,灵命成长,马太福音 16:24｜背起自己的十字架：舍己并跟随耶稣,已完成基础校订
神的话语如何在信徒里面运行？.txt,2026-06-11,帖撒罗尼迦前书 2:13,灵命成长,帖撒罗尼迦前书 2:13｜神的话如何在信徒里面运行,已完成基础校订
圣经所说的“魔鬼的诡计”是什么意思？.txt,2026-06-11,以弗所书 6:10-18,灵命成长,以弗所书 6:11｜魔鬼的诡计：如何识别并抵挡属灵欺骗,已完成基础校订
圣经中麦子和稗子的意义是什么？.txt,2026-06-14,马太福音 13:24-30,灵命成长,马太福音 13:24-30｜麦子和稗子的比喻：等候神最终的审判,已完成基础校订
NEEDS_METADATA_unknown-date_What Does 'Kick against the Goads' Mean in the Bible_中文.txt,2026-06-30,使徒行传 9,灵命成长,使徒行传 9｜NEEDS_METADATA_unknown-date_What Does 'Kick against the Goads' Mean in the Bible_中文,已完成基础校订
没穿礼服被惩罚.docx,2026-07-11,马太福音 22,灵命成长,马太福音 22｜没穿礼服被惩罚,已完成基础校订
列王纪上17_以利亚与撒勒法寡妇_信靠神的供应.txt,2026-07-12,列王纪上 17:1-24,灵命成长,列王纪上 17:1-24｜以利亚与撒勒法寡妇：信靠神的供应,已完成基础校订
为什么今天的基督徒不遵守利未律法.txt,2026-07-15,马太福音 5:21-22,灵命成长,马太福音 5:21-22｜为什么今天的基督徒不遵守利未律法,已完成基础校订
创世记4_该隐与挪得之地_流离与救赎.txt,2026-07-18,创世记 4:1-24,灵命成长,创世记 4:1-24｜该隐与挪得之地：流离、罪的延续与救赎的盼望,已完成基础校订
20260721_使徒行传17章1-9节_帖撒罗尼迦在逼迫中持守福音的教会_JoelRyan_中文.txt,2026-07-21,使徒行传 17:1-9,灵命成长,使徒行传 17:1-9｜帖撒罗尼迦：在逼迫中持守福音的教会,已完成基础校订
20260721_帖撒罗尼迦前书4章16节_在基督里死了的人必先复活_Ronnie_中文.txt,2026-07-21,帖撒罗尼迦前书 4:16,灵命成长,帖撒罗尼迦前书 4:16｜在基督里死了的人必先复活是什么意思,已完成基础校订
20260722_大卫为何称自己为义.txt,2026-07-22,诗篇 7:1-17,灵命成长,诗篇 7:1-17｜大卫为何称自己为义,已完成基础校订
20260723_工作与安息的七个圣经真理_Ronnie_中文.txt,2026-07-23,马太福音 11:28-30,灵命成长,马太福音 11:28-30｜工作与安息的七个圣经真理,已完成基础校订
20260723_我们真能遵行基督的命令吗_Ronnie_中文.txt,2026-07-23,创世记 1:27,灵命成长,创世记 1:27｜我们真能遵行基督的命令吗_Ronnie_中文,已完成基础校订
